Window,RT_s,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248
Win001_C01,114.03,57103235,59696673,62365546,59463458,71670836,73925117,60063727,61118514,57662880,70459118,69031728,63437581,46108728,46638144,63253395,54999155,63395270,47530864
Win001_C02,117.56,768127,1309195,1389016,1634292,1302747,1179234,388077,1083490,1128928,2240508,1097691,1236855,913805,1057457,1251808,1009531,1950621,1706875
Win001_C03,121.09,1241845,1642771,1673030,1274758,1389937,2036529,1869833,1647491,1247759,1831629,2017621,1499037,1038702,1123555,1353762,1501144,1580977,950303
Win001_C04,128.47,1337174,1749108,2023347,1665903,1928265,1893354,1975573,1598214,1194970,2180441,1629783,1578031,1157536,1460764,1441321,1656694,1701935,1497092
Win001_C05,129.11,4097762,4267777,6192685,4680217,4330305,4902716,3684397,5484776,3991733,4522904,7015500,4145361,3083438,2578651,3952597,3820480,5338133,2491115
Win001_C06,131.35,302326,946753,749461,425975,634770,535974,428018,347713,425404,1045280,420603,485163,419015,633532,457219,510604,399594,541788
Win001_C07,134.56,966834,1242801,1047643,1167774,1412587,1254138,1200636,1286467,1161081,1078776,1597126,1247461,859380,677365,1201725,1130770,1673550,530967
Win001_C08,147.08,1675605,2561749,3853022,2473415,2436471,2875687,1559783,2970810,1493804,2669850,4005312,2147119,802778,1056432,1962317,2268525,2705004,660150
Win001_C09,148.69,1042416,1307233,1750240,1335382,1635650,1682742,1749253,1354229,862190,1720466,1712918,1278512,894475,1103371,1024814,1327795,1373854,1125598
Win001_C10,150.93,4823020,5936108,11205954,6940210,6356038,8413449,10655696,7291722,4172309,7908549,11420662,6464884,3766320,4058732,5013141,6142779,7254163,3269863
Win001_C11,160.88,726119,1299028,1084410,771858,609334,896484,602060,677395,848060,1616287,575269,857561,468881,854936,834768,1107745,886394,710815
Win001_C12,169.22,1366415,1697372,1716989,1110580,2073995,1169361,1079729,903027,1203425,1352916,1084298,1204571,1253024,1433756,1282119,1102521,1038741,1389281
Win001_C13,176.28,352567,1290016,2604850,1273451,1676506,2235510,2392500,1846639,866036,1818588,3140589,1388425,183432,224019,720297,1381725,1992550,151900
Win001_C14,184.31,404477,676954,1104951,563784,512640,843087,733004,697290,447692,907524,769524,644541,69894,205051,527684,512195,742728,349709
Win001_C15,188.16,535874,876208,1323292,727022,950722,1143658,1083817,843757,466536,1034844,1186765,809394,490333,764834,581255,860382,762373,569883
Win001_C16,199.07,337237,436239,493152,407805,443715,390383,404364,393922,265617,470018,451898,379009,267102,282749,324126,350311,423224,308396
Win002_C01,220.89,167348,498441,642051,430398,454765,799573,593381,526844,254550,677090,788641,449122,98019,703,286000,400636,655958,88999
Win002_C02,225.38,1868753,2198553,2285394,1592309,2151629,2494219,1897325,1973630,1643650,2533345,2053990,2020392,1426549,2067090,1752044,2006662,1913625,1488694
Win002_C03,244.32,242338,1069303,1793152,866424,1126430,1715841,1745400,1566293,215114,1124533,2737717,1008428,97994,62763,679691,982172,807708,41757
Win002_C04,252.98,1850,839551,1723002,1071537,1045832,1099715,1314809,1019886,5972,1720158,1432967,697393,1744,287701,416265,702543,1513352,18
Win002_C05,262.29,1032,910,257394,190,41074,89769,133302,42065,27,117633,229133,235,3317,2990,1,2906,102689,13301
Win003_C01,272.88,91138,277419,261143,275078,282157,359983,284494,274568,105108,362586,294649,305544,74787,126408,160182,222514,333158,92037
Win003_C02,279.62,1556,393301,494345,483096,536598,617933,521950,458678,399341,606005,720512,417695,247,243060,340497,383637,672000,3074
Win003_C03,285.07,1528223,2175012,4496943,2888259,2755385,2947842,3292946,2355893,1507168,4487425,3024352,2215036,1381216,1785282,1672681,2235521,3744686,1896840
Win003_C04,302.4,760167,1421798,1622015,818990,1080881,1196853,1035826,989367,612096,1546939,1331865,767627,467987,920375,855941,1188153,808674,587833
Win003_C05,322.62,695557,968096,871924,722817,1080029,1298037,831401,1092453,574485,943338,870235,918843,632598,786354,934412,1274918,754658,16944
Win003_C06,328.4,275428,567134,1006161,603465,593527,451102,626362,520329,411836,1096456,858347,282637,144258,224198,349431,74968,885659,59225
Win003_C07,346.69,2561,178895,389046,149413,229371,244097,294821,225567,850,276431,349237,115830,105,3840,49725,106749,286112,706
Win004_C01,388.41,21161,2014114,2389519,1754537,1689862,1696222,2431526,2271354,2853,2097684,2197658,1617562,5986,17866,1860619,2280419,1876213,2646
Win004_C02,403.81,707582,1637123,2063836,1249774,1522102,1326046,1094589,1288763,817111,2166431,1626843,1345243,595494,950452,1089990,846074,1486933,723945
Win004_C03,416.33,1670242,3077166,2917149,3003502,3203821,2844216,2780093,3148184,2332083,3084082,2837529,2660317,1880400,2184493,3013968,3016979,3265748,1912137
Win004_C04,423.39,1484849,2619855,4009880,2385572,2604552,3371875,4281452,3624910,1518609,3115719,4338905,2458800,1145904,1618059,2015896,2963068,3106349,1075021
Win004_C05,437.51,80458,258474,353839,123835,210325,223757,155861,233623,54693,291445,238708,141128,21764,112384,123708,165497,131626,21030
Win005_C01,442,41353,199102,108853,69912,102058,133971,99726,100564,51968,208035,107682,105841,62102,160006,70197,186612,80989,78180
Win005_C02,448.42,5084,382854,734527,415037,477715,535499,452905,511148,248254,655764,857596,364697,22345,137567,226911,293455,509595,6426
Win005_C03,456.77,189785,295226,618527,290314,405199,516170,388593,401779,196996,495820,590284,357118,1393,2201,180540,251676,384206,164240
Win005_C04,462.86,23986,1103403,1610236,721350,818843,1181040,1479495,1195462,60905,1021036,1176707,876580,44489,510074,616920,768364,994300,54372
Win005_C05,466.39,745506,937452,1011276,1016145,1004022,866827,561012,846314,526259,1000528,1072343,738263,438270,563391,692336,505877,863150,521103
Win005_C06,472.17,42166,202481,230807,109915,104467,118532,63979,113322,16283,131424,171220,150060,9115,87692,80384,134239,97895,4558
Win005_C07,475.38,140887,274566,420711,178494,328698,449442,260857,291912,47432,422944,426278,294843,8337,110255,137763,214926,237766,25053
Win006_C01,485.33,190296,556665,492357,253290,536648,385401,335511,309466,315637,366707,471525,273580,80,268933,305484,262106,358206,176523
Win006_C02,493.67,1075707,1171161,955116,1079272,1025750,759581,1082648,848998,1327044,1107744,599577,1021895,900270,1032242,1088334,670560,977463,984779
Win006_C03,497.2,426715,1075132,1465667,716428,752036,1471042,821898,1198273,411381,1500066,1403936,840162,386081,378219,640184,996044,1373160,352893
Win006_C04,499.13,1012163,1030339,1563271,1229584,990025,1166871,1306577,1167244,1034682,1290390,1327017,1048239,859595,753617,892691,853367,1594814,718332
Win006_C05,500.09,4228664,3862775,4397187,2610431,5726554,6622497,4499467,4863118,2177098,4269092,6164830,6154022,2502695,4707890,3610802,4598316,2236946,2283925
Win006_C06,518.7,5103,101874,287963,56660,161561,209585,158491,113413,16249,201509,409423,107101,19472,22667,37371,57014,101138,12941
Win007_C01,526.09,6343,1103698,951659,1334766,1050561,832935,712687,717276,575649,1592608,886655,803723,464323,909274,983944,749703,1583060,1150667
Win007_C02,532.82,64589,153280,250400,75716,189206,198663,214380,221076,16553,173493,249172,147281,40289,86315,80381,178052,87612,25006
Win007_C03,537.64,416417,498384,311534,452292,437785,746931,641227,538144,218228,699081,361314,470126,196762,368391,402555,419869,628039,220489
Win007_C04,541.81,784,87886,306388,52103,20610,93511,61043,100789,390,57041,238171,89350,607,15635,1949,40903,47018,434
Win008_C01,556.89,354470,238722,205465,215860,336754,377856,281987,320995,289223,430677,231981,360206,249669,359987,400738,347478,342706,163760
Win008_C02,559.78,365841,648964,899434,563161,585398,759182,734937,628565,148053,588968,849147,614584,120946,348066,309991,517644,455675,169122
Win008_C03,564.92,38737,65947,90003,43815,48688,67467,52225,63411,39224,97708,82974,49682,18274,43526,35138,37369,49109,30529
Win009_C01,588.66,2837182,2714374,3039438,536925,4154713,4307062,3333703,4039204,400317,2261889,4415914,5514835,16257,5349650,2690696,4374551,105966,4983
Win009_C02,591.23,4701504,5908624,7049940,8277349,5693403,6212070,5853458,7233900,6252234,10385686,7184300,5489218,3874354,3755097,6425890,5660478,11417477,4832624
Win009_C03,606.63,3219898,8228586,5942695,4827493,3989700,4789407,4954392,5141755,2139255,4282218,4254243,4301417,3155630,3460675,4322252,4385285,4843111,3945307
Win009_C04,624.29,1442389,4088085,5296287,1759558,2420475,4205095,3209888,3721125,139314,3611069,5283856,2673964,159827,2163845,2711254,3279371,2421416,1079833
Win010_C01,652.85,967281,823443,959424,992186,1166629,1148230,498101,649327,968951,997037,1352082,953699,870915,653852,611057,543552,920464,942861
Win010_C02,660.55,656139,558044,702398,328965,754705,1004565,608462,742711,286900,660739,924838,903538,395075,828511,560113,775416,325953,387107
Win011_C01,672.1,2397802,1680999,1941178,3182527,1975503,3145676,5145758,3165215,1879873,2544831,3066689,2878792,2163110,2615901,2139455,3082872,2728193,3006594
Win011_C02,686.54,566781,967940,1040993,788997,792460,1130509,1090479,926027,590655,995289,1058855,882657,615737,819827,730296,927665,905783,588330
Win011_C03,692,4311584,4943125,5725276,3158077,6177422,6760834,5285217,6519055,1041,5607721,7466126,7665771,2962920,6494338,4664608,6404769,3301013,2894060
Win011_C04,708.05,2796902,4918828,4818034,6122992,4872251,4652021,4977302,5203081,1716066,4540903,4361058,5207216,2034772,5256524,3916458,5101423,3830347,3404307
Win011_C05,723.77,769133,914613,1126408,609977,1100903,1351170,1128188,1419935,448683,1177895,1659030,1436792,534794,1067123,940959,1341116,599369,439651
Win011_C06,726.34,440130,726150,1422480,420445,457475,759448,704038,566057,308674,719270,928232,603736,357589,1054456,558991,526178,540061,244927
Win011_C07,730.51,925996,909730,937317,728170,1046727,1214469,1083993,1016385,632453,946411,1309424,1317969,728781,1076985,806368,1100956,663697,688494
Win012_C01,744.31,263371,412755,440670,304448,302838,319801,326964,292552,369245,503229,382204,310939,287824,378931,341126,259244,328294,273312
Win012_C02,748.48,80522,113208,117942,76109,172579,84027,67455,84200,140028,93193,120115,62907,77899,63440,61282,65299,85061,79846
Win012_C03,750.41,218799,485055,429968,443018,318751,230505,208084,213175,216356,538485,186124,227435,176178,328484,251294,193666,315505,398139
Win012_C04,753.62,101854,320724,171011,159082,176907,146139,127591,125024,94111,173171,176351,162845,122237,126151,160777,160381,174212,153529
Win012_C05,757.79,82124,161019,199950,99078,106003,202603,183988,160082,81347,200354,233101,152909,77341,80685,99840,142691,128250,37707
Win012_C06,761.64,451239,520837,217429,698411,1662028,795615,15355,604488,276779,477575,348997,640899,528620,832100,654216,569316,312892,1036081
Win012_C07,764.21,1266817,1842052,1762921,1846831,1566023,1467218,2122824,1743889,1262527,2224380,1447030,1701189,1500896,1784657,1715930,1577763,2089791,1911982
Win012_C08,769.34,2866231,1997442,2130733,1251738,3184362,2863380,1591111,2689745,990990,2030841,3165402,4094528,874015,3376158,1741331,1834277,1135792,954897
Win012_C09,777.68,480627,422200,475272,488046,481426,546371,508096,522816,283525,655598,538246,574569,379935,464745,638646,679739,580620,457995
Win012_C10,783.14,143531,296329,208074,98428,155954,302551,148444,278229,71597,185487,289371,180676,52581,281303,109715,318338,125587,38923
Win012_C11,783.78,121053,133417,320606,216128,206011,81314,161186,105575,84016,287863,134398,170077,114186,207353,204568,46677,179037,155005
Win013_C01,792.13,219903,450181,382290,604676,344826,329495,447270,405463,221408,323464,324217,305280,129501,336498,200932,217318,538211,194019
Win013_C02,794.05,287588,323422,440347,300466,339556,330326,542497,358835,141065,515214,607345,235912,195556,211034,333109,436425,449830,205050
Win013_C03,797.26,88648,131500,204667,57726,151954,233572,309684,218592,48949,203018,147137,184025,34732,96081,114580,142718,72058,33053
Win013_C04,798.54,2033281,2385948,2800362,1472684,2829247,3183737,2938253,3283622,1262149,2678063,4220947,3800938,1472123,3232488,2329265,3405480,1458714,1236079
Win013_C05,801.43,177280,461586,463443,237493,261795,361029,210170,467385,319614,250441,470277,312373,180602,298016,307879,346469,209424,200675
Win013_C06,803.68,377284,813303,806249,983241,525507,506609,162093,501442,427966,1178739,504683,631484,319000,405830,465744,368707,1867802,549790
Win013_C07,806.25,403008,501039,464195,614826,431180,345185,502123,377604,394434,584873,242456,571234,481332,432893,665988,515824,819037,531347
Win013_C08,808.49,342244,597487,1119034,521633,353521,582571,378052,183191,277165,932372,1024315,470491,348147,366907,381829,111121,521068,256052
Win013_C09,812.99,638155,2894221,1696664,1147230,1924449,2478086,5074731,2877270,206444,1841972,2482561,1803950,363426,1657965,2310679,2705340,971637,807266
Win013_C10,819.73,1206949,1831396,2503225,1379777,1684272,1631332,1157550,1314835,1394046,2247324,1917198,1586802,1318200,1541866,1391285,1069607,1256651,1243962
Win013_C11,822.29,642163,2596949,1276472,720073,1818034,1333742,932915,1529661,179476,453178,808275,1268206,457140,1504826,1843014,1345848,241892,1377902
Win013_C12,822.93,563582,188330,250170,260975,481478,322150,218112,474787,295965,530384,452735,564015,248090,443354,400103,303837,378926,274806
Win013_C13,824.86,408245,586267,890000,402812,484523,482341,481879,427282,437688,992305,582099,403574,332747,462975,473223,337936,487190,350634
Win013_C14,827.11,844324,1388106,1518193,1405705,998952,1754960,1516956,1481356,782301,1555601,1907934,1359065,976563,745156,1290751,1713011,1673197,761471
Win013_C15,831.6,1733039,1118965,1319402,585737,2287628,1894194,1038472,1172668,345779,1237054,1591263,2393937,9,2554809,904030,1076975,552370,1301
Win013_C16,835.45,440676,760537,531484,429264,429284,759406,515964,612724,437357,610385,736486,679421,460328,144671,424223,466863,651761,290111
Win013_C17,836.73,50321,287100,765722,48720,60261,249069,315811,87722,67280,104516,410293,117202,176021,808292,275170,138775,54170,136073
Win014_C01,846.04,170427,284194,521066,128749,112194,278003,228190,180547,98584,204557,388324,160775,174894,502081,273954,192331,113267,89102
Win014_C02,847.32,189855,977241,2371805,222188,208556,823775,1027024,427264,203072,345842,1286250,407489,531081,2415622,892792,467535,140022,165568
Win014_C03,855.99,35609688,20959177,15206979,44170334,27046694,19110287,13247457,23723940,32903625,20807126,17589247,23249106,35062750,28050458,29995181,26656647,32996768,37573784
Win014_C04,859.52,19311511,23212274,23111944,13305893,30322009,30854626,21887281,28398926,11015903,22714208,33641338,35332058,113289,31697544,20171035,25120809,12877271,56776
Win014_C05,874.28,8591545,15299611,19972537,12614093,13520412,13035294,15754068,11352832,7294323,14798456,16139227,10927826,6918040,10987585,8868192,9234804,10526139,7849051
Win014_C06,893.54,2633426,3338295,1951087,1435780,3726177,5579545,2152075,2132817,151551,2307058,3833739,5204510,114527,4671814,1732611,1654608,989036,854230
Win014_C07,901.24,2048135,2139515,2080221,1079663,3478964,3230948,1806886,1989382,824602,1923559,3012872,3780734,891615,3437541,1652388,1901423,1065840,1019050
Win015_C01,935.58,1650080,1871939,1523616,1331976,1547158,1562769,991149,2041671,890713,1257239,2591920,1343818,689626,928050,1699034,1231325,1304688,450373
Win015_C02,941.67,982205,2452491,3645557,1445976,2104793,1756824,1939848,1019748,752680,2553152,1419197,1394709,741980,1970122,1135505,1429040,1130333,1948990
Win015_C03,948.09,1093385,897044,1326622,449369,672486,1671896,1247772,1792647,575667,1681861,1914322,2507538,421973,1114186,543003,1228076,563731,204437
Win015_C04,952.26,412871,530752,1228662,1260548,836004,542986,757791,413967,865974,1125881,761822,313766,438784,484677,728000,401433,1207176,578568
Win015_C05,956.12,97204,422198,587090,292000,534884,342421,511988,284496,31856,155754,248533,327952,135162,599663,278818,556858,176798,132331
Win015_C06,958.36,644129,655761,865712,449178,735946,741396,642086,966523,491030,1115207,783089,958892,423056,809737,671753,663345,639767,444532
Win015_C07,963.18,270079,356164,665637,464370,345817,359895,312153,247313,390431,683172,363590,349510,271937,299014,329373,244459,504922,270782
Win015_C08,967.35,257090,289486,395317,344265,345916,472121,256960,417032,161345,351253,553468,478515,187554,405418,305239,511242,300602,171837
Win015_C09,973.45,182038,179388,565855,249000,256326,139590,424672,104664,130964,188677,120466,230063,64339,296604,157153,175317,245623,100110
Win015_C10,980.83,295082,456725,978009,537010,541969,327358,282541,456286,308464,876995,317556,410166,246631,758789,489209,337812,565350,314441
Win016_C01,989.81,210636,274379,277341,226664,311585,496371,257339,280488,162723,376584,223119,325483,206437,232791,229873,349694,296473,4171
Win016_C02,999.12,425258,460365,707364,583631,589573,498329,566502,598511,427122,777495,273328,539809,365491,619145,492040,464326,964651,461861
Win016_C03,1002.01,430978,1375415,1550159,529157,618635,1212677,812481,374748,556189,1380551,2123571,839156,398517,475563,478640,434858,277560,389502
Win016_C04,1005.54,627777,1860661,2336260,809553,1009184,1713840,1176533,1151793,653591,1861371,2319535,1182306,574767,1274092,1020355,1383046,785378,515201
Win016_C05,1015.49,882430,1360022,921222,539103,1318673,981702,1106489,1234527,174207,990228,1782974,1972965,328622,1380885,1209732,1557407,389879,308710
Win016_C06,1023.19,563321,775882,1376328,739330,665440,813625,757625,675437,630837,1168218,733369,699177,599254,654429,619167,514913,755981,500576
Win016_C07,1027.04,317909,309024,754944,360420,343042,419234,433088,347704,345884,658692,363629,389079,291071,372711,279001,168885,409204,264466
Win016_C08,1028.64,112318,1162609,180917,47950,66396,23912,6586,77558,158693,144400,16883,59292,79363,95388,134689,587999,72088,134186
Win017_C01,1067.15,344790,547339,935155,359823,392163,653623,523386,376025,252530,555602,625731,392578,279648,402166,318682,208452,331605,193629
Win017_C02,1069.72,143815,227772,193983,214698,278630,205941,141305,150348,199501,281316,330478,162877,145880,125980,125546,142807,200719,192830
Win017_C03,1084.48,486992,689509,1169266,731123,669844,634257,601975,550687,698453,1153063,553793,725773,596174,665116,665445,418906,650629,597970
Win017_C04,1088.01,233814,293862,575808,281593,316843,294702,282523,238207,285738,506957,263410,290343,243299,277032,191871,190894,302365,212327
Win017_C05,1093.15,151763,242643,220261,171336,190609,292232,143372,185067,184682,300570,230939,205564,125742,168763,162283,202200,178884,155858
