Sample ID,Site,Plot,Nadd_yr,Start_yr,End_yr,Vegetation,Trt
S1K,Svartberget,K,0,1996,2019,Picea abies,Control
S1N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S1N2,Svartberget,N2,50,1996,2019,Picea abies,N2
S2K,Svartberget,K,0,1996,2019,Picea abies,Control
S2N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S2N2,Svartberget,N2,50,1996,2019,Picea abies,N2
S3K,Svartberget,K,0,1996,2019,Picea abies,Control
S3N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S3N2,Svartberget,N2,50,1996,2019,Picea abies,N2
S4K,Svartberget,K,0,1996,2019,Picea abies,Control
S4N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S4N2,Svartberget,N2,50,1996,2019,Picea abies,N2
S5K,Svartberget,K,0,1996,2019,Picea abies,Control
S5N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S5N2,Svartberget,N2,50,1996,2019,Picea abies,N2
S6K,Svartberget,K,0,1996,2019,Picea abies,Control
S6N1,Svartberget,N1,12.5,1996,2019,Picea abies,N1
S6N2,Svartberget,N2,50,1996,2019,Picea abies,N2
Ah1,Aheden,1,3,2004,2019,Pynus sylvestris,N3kg
Ah2,Aheden,2,6,2004,2019,Pynus sylvestris,N6kg
Ah3,Aheden,3,12,2004,2019,Pynus sylvestris,N12kg
Ah4,Aheden,4,0,2004,2019,Pynus sylvestris,Control
Ah5,Aheden,5,50,2004,2019,Pynus sylvestris,N50kg
Ah6,Aheden,6,3,2004,2019,Pynus sylvestris,N3kg
Ah7,Aheden,7,50,2004,2019,Pynus sylvestris,N50kg
Ah8,Aheden,8,12,2004,2019,Pynus sylvestris,N12kg
Ah9,Aheden,9,0,2004,2019,Pynus sylvestris,Control
Ah10,Aheden,10,6,2004,2019,Pynus sylvestris,N6kg
Ah11,Aheden,11,3,2004,2019,Pynus sylvestris,N3kg
Ah12,Aheden,12,50,2004,2019,Pynus sylvestris,N50kg
Ah13,Aheden,13,50,2004,2019,Pynus sylvestris,N50kg
Ah14,Aheden,14,6,2004,2019,Pynus sylvestris,N6kg
Ah15,Aheden,15,0,2004,2019,Pynus sylvestris,Control
Ah16,Aheden,16,12,2004,2019,Pynus sylvestris,N12kg
Ah17,Aheden,17,3,2004,2019,Pynus sylvestris,N3kg
Ah18,Aheden,18,0,2004,2019,Pynus sylvestris,Control
Ah19,Aheden,19,12,2004,2019,Pynus sylvestris,N12kg
Ah20,Aheden,20,50,2004,2019,Pynus sylvestris,N50kg
Ah21,Aheden,21,6,2004,2019,Pynus sylvestris,N6kg
Ah22,Aheden,22,12,2004,2019,Pynus sylvestris,N12kg
Ah23,Aheden,23,0,2004,2019,Pynus sylvestris,Control
Ah24,Aheden,24,6,2004,2019,Pynus sylvestris,N6kg
Ah25,Aheden,25,3,2004,2019,Pynus sylvestris,N3kg
Ah26,Aheden,26,50,2004,2019,Pynus sylvestris,N50kg
Ah27,Aheden,27,6,2004,2019,Pynus sylvestris,N6kg
Ah28,Aheden,28,12,2004,2019,Pynus sylvestris,N12kg
Ah29,Aheden,29,3,2004,2019,Pynus sylvestris,N3kg
Ah30,Aheden,30,0,2004,2019,Pynus sylvestris,Control
RoIN1,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoIN2,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoIN3,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoIN4,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoIN5,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoIN6,RosinedalOF,IN,100,2017,2020,Pynus sylvestris,IN_100
RoON1,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoON2,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoON3,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoON4,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoON5,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoON6,RosinedalOF,ON,100,2017,2020,Pynus sylvestris,ON_100
RoCC1,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoCC2,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoCC3,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoCC4,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoCC5,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoCC6,RosinedalOF,CC,0,2017,2020,Pynus sylvestris,Carbon_control
RoFC1,RosinedalOF,C1,0,2017,2020,Pynus sylvestris,Control
RoFC2,RosinedalOF,C2,0,2017,2020,Pynus sylvestris,Control
RoFC3,RosinedalOF,C3,0,2017,2020,Pynus sylvestris,Control
RoFC4,RosinedalOF,C4,0,2017,2020,Pynus sylvestris,Control
RoFC5,RosinedalOF,C5,0,2017,2020,Pynus sylvestris,Control
RoFC6,RosinedalOF,C6,0,2017,2020,Pynus sylvestris,Control
FlFF1,Flakaliden,F1,60.6,1987,2019,Picea abies,Fertilised
FlFF7,Flakaliden,F7,60.6,1987,2019,Picea abies,Fertilised
FlFF9,Flakaliden,F9,60.6,1987,2019,Picea abies,Fertilised
FlFF13,Flakaliden,F13,60.6,1987,2019,Picea abies,Fertilised
FlFC4,Flakaliden,F4,60.6,1987,2019,Picea abies,Control
FlFC6,Flakaliden,F6,60.6,1987,2019,Picea abies,Control
FlFC10,Flakaliden,F10,60.6,1987,2019,Picea abies,Control
FlFC14,Flakaliden,F14,60.6,1987,2019,Picea abies,Control