"Window","RT_s","Ave_Area_Prop"
"Win001_C01",114.03,0
"Win001_C02",117.56,0.55336388012096
"Win001_C03",121.09,0.657751879113098
"Win001_C04",128.47,0.724913727712831
"Win001_C05",129.11,1.91995509367222
"Win001_C06",131.35,0.237224266660317
"Win001_C07",134.56,0.506668199877043
"Win001_C08",147.08,0.981663249570683
"Win001_C09",148.69,0.593259990710653
"Win001_C10",150.93,2.95867464769813
"Win001_C11",160.88,0.376937092228935
"Win001_C12",169.22,0.573248959470196
"Win001_C13",176.28,0.624007938126862
"Win001_C14",184.31,0.261743642617811
"Win001_C15",188.16,0.366761865292232
"Win001_C16",199.07,0.16685918415276
"Win002_C01",220.89,0.190882937585825
"Win002_C02",225.38,0.864141217031745
"Win002_C03",244.32,0.436935979811081
"Win002_C04",252.98,0.363911663174178
"Win002_C05",262.29,0.0253606270858456
"Win003_C01",272.88,0.102201909067157
"Win003_C02",279.62,0.178202379713336
"Win003_C03",285.07,1.13346220361091
"Win003_C04",302.4,0.440120302610504
"Win003_C05",322.62,0.373020367122769
"Win003_C06",328.4,0.220642376444314
"Win003_C07",346.69,0.0709375711134182
"Win004_C01",388.41,0.640822723285081
"Win004_C02",403.81,0.550678062934844
"Win004_C03",416.33,1.19311279939687
"Win004_C04",423.39,1.16641163371475
"Win004_C05",437.51,0.0718855453961549
"Win005_C01",442,0.0480633149890443
"Win005_C02",448.42,0.167057384296618
"Win005_C03",456.77,0.140002478268993
"Win005_C04",462.86,0.348354393425735
"Win005_C05",466.39,0.339864234206177
"Win005_C06",472.17,0.0456539322737877
"Win005_C07",475.38,0.104357164600921
"Win006_C01",485.33,0.143138399381411
"Win006_C02",493.67,0.432662240343222
"Win006_C03",497.2,0.396041538615119
"Win006_C04",499.13,0.484720978991608
"Win006_C05",500.09,1.84508669963668
"Win006_C06",518.7,0.0508091883824588
"Win007_C01",526.09,0.400933358585836
"Win007_C02",532.82,0.059896513494034
"Win007_C03",537.64,0.196137220467555
"Win007_C04",541.81,0.0296765622697358
"Win008_C01",556.89,0.134589772096733
"Win008_C02",559.78,0.227414092528025
"Win008_C03",564.92,0.0233047892524469
"Win009_C01",588.66,1.22403392760938
"Win009_C02",591.23,2.83929539282991
"Win009_C03",606.63,1.95911555237194
"Win009_C04",624.29,1.21350312785543
"Win010_C01",652.85,0.391393755014823
"Win010_C02",660.55,0.278637810451991
"Win011_C01",672.1,1.19088595530029
"Win011_C02",686.54,0.376738598889598
"Win011_C03",692,2.20734554659641
"Win011_C04",708.05,1.89918556572738
"Win011_C05",723.77,0.441399416753905
"Win011_C06",726.34,0.27702909572419
"Win011_C07",730.51,0.418642218924554
"Win012_C01",744.31,0.148985987748017
"Win012_C02",748.48,0.0401949500817459
"Win012_C03",750.41,0.131425386589888
"Win012_C04",753.62,0.0691965030597688
"Win012_C05",757.79,0.0593494107300699
"Win012_C06",761.64,0.260036951734084
"Win012_C07",764.21,0.753383375225889
"Win012_C08",769.34,0.947338366175606
"Win012_C09",777.68,0.224257207938853
"Win012_C10",783.14,0.0802651454871432
"Win012_C11",783.78,0.0715511803852203
"Win013_C01",792.13,0.145985742843544
"Win013_C02",794.05,0.152793375373442
"Win013_C03",797.26,0.0604152251624404
"Win013_C04",798.54,1.12448724566669
"Win013_C05",801.43,0.135259650467562
"Win013_C06",803.68,0.278425097131918
"Win013_C07",806.25,0.216929910855241
"Win013_C08",808.49,0.214208617016156
"Win013_C09",812.99,0.827838559099575
"Win013_C10",819.73,0.676213274514789
"Win013_C11",822.29,0.496716290163573
"Win013_C12",822.93,0.162523116212639
"Win013_C13",824.86,0.220476159040632
"Win013_C14",827.11,0.57841608999577
"Win013_C15",831.6,0.532824925987462
"Win013_C16",835.45,0.229204221958507
"Win013_C17",836.73,0.10145829203334
"Win014_C01",846.04,0.100205394452359
"Win014_C02",847.32,0.320144565973056
"Win014_C03",855.99,11.8245552977301
"Win014_C04",859.52,9.36135770063727
"Win014_C05",874.28,5.22093275113856
"Win014_C06",893.54,1.08635976350568
"Win014_C07",901.24,0.912896815412812
"Win015_C01",935.58,0.608555168133755
"Win015_C02",941.67,0.728667729328107
"Win015_C03",948.09,0.486362800375589
"Win015_C04",952.26,0.314932552106226
"Win015_C05",956.12,0.139658926466381
"Win015_C06",958.36,0.310326377831003
"Win015_C07",963.18,0.164400031504929
"Win015_C08",967.35,0.151598188435928
"Win015_C09",973.45,0.0931103081881789
"Win015_C10",980.83,0.207689733167239
"Win016_C01",989.81,0.115864769526392
"Win016_C02",999.12,0.239804606772834
"Win016_C03",1002.01,0.348373817626224
"Win016_C04",1005.54,0.543761386119684
"Win016_C05",1015.49,0.450538270970929
"Win016_C06",1023.19,0.323563420722786
"Win016_C07",1027.04,0.166827909968324
"Win016_C08",1028.64,0.0772381220622471
"Win017_C01",1067.15,0.18796095144131
"Win017_C02",1069.72,0.0846461700673892
"Win017_C03",1084.48,0.299523004013326
"Win017_C04",1088.01,0.129044810330451
"Win017_C05",1093.15,0.0858273080548647
"Win017_C06",1098.28,0.0265448436258515
"Win018_C01",1114.01,0.324107958026308
"Win018_C02",1116.89,0.139624598162372
"Win018_C03",1117.86,0.243878997747875
"Win018_C04",1120.42,0.0985408748517065
"Win018_C05",1123.31,0.772594569199415
"Win018_C06",1123.95,0.0501840711881027
"Win018_C07",1126.2,0.0973436355458382
"Win018_C08",1126.52,1.02188749476738
"Win018_C09",1128.45,0.0896253378579159
"Win018_C10",1133.26,0.0638367431044392
"Win018_C11",1135.19,0.265409441259797
"Win018_C12",1140.32,0.109023786010748
"Win018_C13",1143.21,0.294745041620319
"Win018_C14",1144.81,0.0272937381782926
"Win018_C15",1146.42,0.141998601956486
"Win018_C16",1155.4,0.0578155585812607
"Win018_C17",1157.65,0.0282287629940367
"Win018_C18",1159.58,0.018490006393858
"Win019_C01",1167.6,0.0693169331028011
"Win019_C02",1167.6,0.0503168887401262
"Win019_C03",1170.17,0.0239009778262003
"Win019_C04",1183.33,0.150885650122892
"Win019_C05",1188.14,0.0684726278548759
"Win019_C06",1193.27,0.0187960291751482
"Win019_C07",1196.8,0.00968155904880144
"Win019_C08",1198.73,0.276912623820125
"Win019_C09",1199.69,0.049481574820226
"Win019_C10",1202.26,0.115967021449721
"Win019_C11",1203.54,0.0383998851940326
"Win019_C12",1206.75,0.021253129454625
"Win020_C01",1225.69,0.651635137296696
"Win020_C02",1231.78,0.134228848461985
"Win020_C03",1235.63,0.131373466557134
"Win020_C04",1238.2,0.428706446939469
"Win020_C05",1248.47,0.0781767873885231
"Win020_C06",1252.96,0.265026161469769
"Win020_C07",1255.53,0.152314049631059
"Win020_C08",1260.02,0.0784724750291757
"Win020_C09",1264.52,0.0314641506727325
"Win021_C01",1278.96,0.064396257810351
"Win021_C02",1279.92,0.0186183527148254
"Win021_C03",1284.41,0.0889629848377166
"Win021_C04",1290.83,0.149028574391354
"Win021_C05",1300.14,0.0500592676458408
"Win021_C06",1304.95,0.298255006865173
"Win021_C07",1306.88,0.0855838825083581
"Win021_C08",1312.65,0.038261594659733
"Win022_C01",1318.75,0.0570859416315691
"Win022_C02",1322.28,0.0340663582813976
"Win022_C03",1323.89,0.0232186142145538
"Win022_C04",1327.42,0.0380851398472398
"Win022_C05",1331.59,0.285860705512094
"Win022_C06",1333.51,0.0906938643484679
"Win022_C07",1335.44,0.100104730671208
"Win022_C08",1338.65,0.188150453452622
"Win022_C09",1341.22,0.72827247738935
"Win022_C10",1353.73,0.15792859645771
"Win022_C11",1355.98,0.130609301406824
"Win022_C12",1358.87,0.0420133973089159
"Win023_C01",1368.49,0.0121079471018446
"Win023_C02",1370.42,0.0145638501664486
"Win023_C03",1375.88,0.0157597456597045
"Win023_C04",1378.12,0.0124617118803118
"Win023_C05",1382.94,0.0144398284787976
"Win023_C06",1386.47,0.0573925508038174
"Win023_C07",1390.32,0.0422066131296299
"Win023_C08",1393.53,0.0199531739992522
"Win024_C01",1403.47,0.198609982272207
"Win024_C02",1405.72,0.146955853384951
"Win024_C03",1421.13,0.0984908117236535
"Win024_C04",1427.54,0.0957580588279279
"Win024_C05",1431.39,0.0384728175694539
"Win024_C06",1436.53,0.496541374627345
"Win025_C01",1462.84,0.0159545251896402
"Win025_C02",1465.73,0.0393931826112439
"Win025_C03",1472.79,0.036238496988165
"Win025_C04",1477.61,0.0324168405160912
"Win025_C05",1484.35,0.0620485438775277
"Win025_C06",1490.44,0.106804736027328
"Win025_C07",1491.73,0.0601059772308804
"Win025_C08",1493.33,0.230567507637362
"Win025_C09",1493.65,0.0570093443126593
"Win025_C10",1495.58,0.141402437815689
"Win025_C11",1501.36,0.115923995013166
"Win025_C12",1502.96,0.345691445486987
"Win026_C01",1521.57,0.041670285299522
"Win026_C02",1526.07,0.0851711854385959
"Win026_C03",1534.41,0.0847873925564796
"Win026_C04",1535.37,0.092328502443211
"Win026_C05",1536.01,0.135075939066961
"Win026_C06",1544.04,0.0207476115827772
"Win027_C01",1548.21,0.0106022172860706
"Win027_C02",1553.99,0.0205623609059116
"Win027_C03",1557.52,0.00540263979414517
"Win027_C04",1569.39,0.108580327848639
"Win027_C05",1575.17,0.024460321501416
"Win027_C06",1576.77,0.239025171024655
"Win027_C07",1585.76,0.152083891179981
"Win028_C01",1597.63,0.0236547669226425
"Win028_C02",1599.88,0.049521449405381
"Win028_C03",1602.76,0.0411515003322458
"Win028_C04",1609.5,0.0753880585892497
"Win028_C05",1611.75,0.0336667572763676
"Win028_C06",1620.09,0.0561035413129969
"Win028_C07",1628.76,0.0746190557135349
"Win028_C08",1635.18,0.1161150607337
"Win028_C09",1639.03,0.0609916230413559
"Win028_C10",1643.2,0.253855926808893
"Win028_C11",1648.34,0.134741256427591
"Win028_C12",1654.11,0.215835118936355
"Win028_C13",1655.4,0.211825646326974
"Win028_C14",1661.17,0.118966997591672
"Win028_C15",1662.46,0.340422698294955
"Win028_C16",1664.7,0.113302705265404
"Win028_C17",1669.84,0.0608614931145574
"Win028_C18",1672.08,0.0794069623198748
"Win029_C01",1696.15,0.0467736458083959
"Win029_C02",1706.74,0.0357392828191174
"Win029_C03",1716.05,0.0639262165914719
"Win029_C04",1730.49,0.0311794334295889
"Win029_C05",1740.44,0.0547624896246397
"Win029_C06",1745.57,0.0965501997135334
"Win029_C07",1755.52,0.034480961121774
"Win029_C08",1759.37,0.117520566561542
"Win029_C09",1770.93,0.0138544148389004
"Win030_C01",1788.26,0.0123538892428799
"Win030_C02",1792.75,0.166166778595955
"Win030_C03",1794.67,0.0173756436767431
"Win030_C04",1801.41,0.115583106402822
"Win030_C05",1817.46,0.041614504859627
"Win030_C06",1821.63,0.108605151732534
"Win030_C07",1827.73,0.0258435200398911
"Win030_C08",1832.54,0.0401110228758592
"Win030_C09",1837.68,0.0959556970137847
"Win030_C10",1847.63,0.0225686242703891
